                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3561,                 2.6219,                 1.2139,                 0.6605,                0.42983,                0.45418,                0.32988,                 1.1257,                 1.8988,                 1.0984,             0.00027462,             0.00027462,             0.00027462
                      2,                 1.0261,                 1.3624,                 1.0591,                0.69451,                0.57368,                0.59949,                0.44102,                0.98268,                 1.3297,                 1.0147,             0.00051583,             0.00051583,             0.00051583
                      3,                 0.9466,                  1.158,                 1.0119,                0.62485,                0.57074,                0.59531,                0.43481,                0.92134,                 1.1866,                 1.0013,              0.0007204,              0.0007204,              0.0007204
                      4,                0.90414,                 1.0582,                0.99056,                0.60212,                0.69014,                0.66898,                0.50051,                0.88758,                0.98629,                0.98218,             0.00066807,             0.00066807,             0.00066807
                      5,                0.85302,                0.98837,                  0.973,                0.64272,                0.71402,                0.71276,                0.53434,                0.84851,                0.98692,                0.95002,             0.00066807,             0.00066807,             0.00066807
                      6,                0.87772,                 1.0409,                0.98772,                0.68852,                0.66424,                0.71125,                0.54225,                0.87356,                0.97512,                0.96341,             0.00061309,             0.00061309,             0.00061309
                      7,                0.84305,                0.95291,                 0.9629,                 0.6271,                  0.748,                0.69552,                0.52585,                0.81421,                0.90849,                0.94069,             0.00055811,             0.00055811,             0.00055811
                      8,                0.79935,                 0.8789,                0.94691,                0.73893,                0.75058,                0.78141,                 0.6106,                0.80002,                0.80354,                0.91772,             0.00050313,             0.00050313,             0.00050313
                      9,                0.77134,                0.83947,                0.93358,                0.78153,                 0.7422,                0.80863,                0.63206,                0.74445,                0.80971,                0.90986,             0.00044815,             0.00044815,             0.00044815
                     10,                0.73951,                0.79874,                0.92675,                 0.7634,                0.76998,                0.80517,                0.64039,                0.71206,                0.78185,                0.89866,             0.00039318,             0.00039318,             0.00039318
                     11,                0.72744,                0.76767,                0.92042,                 0.7908,                0.79302,                0.83767,                0.67908,                 0.7047,                0.71996,                0.89084,              0.0003382,              0.0003382,              0.0003382
                     12,                0.70955,                0.74197,                 0.9192,                0.82778,                0.82709,                0.85752,                0.69559,                0.67403,                0.67547,                0.88534,             0.00028322,             0.00028322,             0.00028322
                     13,                0.69347,                0.71439,                0.90804,                0.82524,                0.80631,                0.85632,                0.69199,                0.67992,                0.66177,                0.87926,             0.00022824,             0.00022824,             0.00022824
                     14,                0.66616,                0.67941,                0.90083,                0.83453,                0.79512,                0.85735,                0.69775,                  0.651,                0.64187,                0.88223,             0.00017326,             0.00017326,             0.00017326
                     15,                0.65115,                0.66376,                0.89437,                0.83326,                0.81877,                0.86617,                 0.7177,                0.62161,                0.62425,                0.87179,             0.00011829,             0.00011829,             0.00011829
